MolName,VibrationMode,nu,n,g,theta,VibAmplCoeff,omega,P0,ID
N2,nu,233100,69881621959800,1,3353.78890146167,2.13183782904e+25,439079180339694,0.333333333333333,N2nu
H2O,nu1,365700,109634101890600,1,5261.60704103189,5.744520070964e+26,688851378164848,0.666666666666667,H2Onu1
H2O,nu2,159600,47846876296800,1,2296.28789649628,5.737293502052e+26,300630790142493,0.666666666666667,H2Onu2
H2O,nu3,375600,112602047224800,1,5404.04595190477,5.565060276316e+26,707499528681205,0.666666666666667,H2Onu3
CH4,nu1,291500,87389501507000,1,4194.03459792397,5.974565847996e+26,549084431870531,0.666666666666667,CH4nu1
CH4,nu2,153400,45988163057200,2,2207.08373009103,5.974565847996e+26,288952150425178,0.666666666666667,CH4nu2
CH4,nu3,301900,90507343070200,1,4343.66739318438,5.975770276148e+26,568674408170543,0.666666666666667,CH4nu3
CH4,nu4,130600,39152895014800,3,1879.04260202014,5.039327387968e+26,246004894690536,0.666666666666667,CH4nu4
CO2,nu1,134100,40202168617800,1,1929.39979273278,1.0839853368e+25,252597675176117,0.333333333333333,CO2nu1
CO2,nu2,66700,19996156948600,2,959.664177295124,1.0839853368e+25,125639559539501,0.666666666666667,CO2nu2
CO2,nu3,234900,70421248384200,1,3379.68688525674,1.0839853368e+25,442469753160850,0.333333333333333,CO2nu3
O2,nu,155400,46587747973200,1,2235.85926764111,3.763837975e+25,292719453559796,0.333333333333333,O2nu
Ar,none,0,0,0,0,0,0,0,Arnone
SO2,nu1,52500,15739104045000,2,755.357860689565,3.20980102508e+25,98891707283714.8,0.666666666666667,SO2nu1
SO2,nu2,115000,34476132670000,1,1654.59340912952,3.27604457344e+25,216619930240518,0.333333333333333,SO2nu2
SO2,nu3,136000,40771774288000,1,1956.73655340535,2.95687111316e+25,256176613154004,0.333333333333333,SO2nu3
He,none,0,0,0,0,0,0,0,Henone
